place_id,name,rating,user_ratings_total
ChIJc37XTqo3aDQRDxyTI9qS55Y,無名咖哩,0,0
ChIJz6pEWx03aDQR_iG9mgvqkSY,Restaurant ZenA,0,0
ChIJh_FphxU3aDQRV7hKTNo17AE,馨美馨早點,0,0
ChIJ87MnyyU3aDQRe6SceWCQngw,老灶林 傳香豬腳,0,0
ChIJw4BCRAA3aDQRofePGLmyrok,黑皮驊,0,0
ChIJrVUghxU3aDQRyoVy3kfsKQw,文樂飲食店,0,0
ChIJ27sVm403aDQRvm_-6dTDizw,隘心餐飲坊,0,0
ChIJw95qcBY3aDQR2wEUowuwqj0,莘莘Shen²南洋料理,0,0
ChIJLzVC9Yg3aDQR8nJ9lNg66oc,金仙便當工研院店,0,0
ChIJITYo8zg2aDQRBhlM45DgrwI,谷杜堂小食店,0,0
ChIJqQhoihU3aDQRpjDuDygLu_w,平價小吃,0,0
ChIJadke6HE3aDQRjBscN3mGKeM,Chen Xiang Breakfast Restaurant,0,0
ChIJGYl9QVU2aDQRG0vsBGH56EE,晶華飲食店,0,0
ChIJgTprVck3aDQRn5zL9LHPyzA,傻師傅湯包,0,0
ChIJx0SOnm83aDQRL4ezUJKY_Fg,蛋,0,0
ChIJA48LLqc3aDQR4Qxdy_jl98A,齊味羊肉麵線,0,0
ChIJc9MTqDk2aDQRZyWlzuD2mzE,月滿樓,0,0
ChIJYY9CRVs3aDQRWaDPztszT1k,豐福早餐,0,0
ChIJvyyJQDA2aDQR7WwbonxAL-8,吉野烤肉快餐,2.6,78
ChIJd026Vf03aDQRroReLDoZVOs,爭鮮 gogo -新竹高鐵店,2.6,92
ChIJMVRPLac3aDQRaR30Xr6rVvA,九龍燒臘便當,2.7,14
ChIJzeORkOQ2aDQRSeoh68Bk8r0,Hong Ya Hamburger,2.7,349
ChIJ-ZegODA2aDQR7Iqo2DcJ8nU,Ba Fang Yun Ji Dumpling,2.9,555
ChIJXVRfiy03aDQRKYqoGI73BJE,好吃霸王餃 原包好吃,3,9
ChIJ6bJjFbA3aDQRdOWU_gMfoaM,貓酒店咖啡,3,63
ChIJnzW_ECM3aDQRdwfOwdphS7M,阿力香雞排,3.1,24
ChIJHU0dUFM2aDQR8fD4wbhLZ-I,上晴早餐,3.1,163
ChIJi1rczqo3aDQRAA_hn96jUzU,陳家原味鴨肉飯,3.1,236
ChIJJ8HpYPk2aDQRg12qMfcZ8GY,Overseas Dragon,3.1,316
ChIJpQBGFJ83aDQRaHiKv6WDp1Y,韓宮館-嫩豆腐煲,3.2,55
ChIJt7MWw-Q2aDQRUGLdAk7e2Go,四海遊龍 十興店,3.2,191
ChIJjU6XfPk2aDQRNwSmvlHZiI0,Noble Family Steak House,3.2,2465
ChIJnWn_w_03aDQRbOkNj_1DQRw,潮味決・湯滷專門店 竹北嘉豐分社,3.3,55
ChIJhSuO0uI2aDQRax9iORVQ2MQ,榮華香港燒臘快餐,3.3,106
ChIJyQlvFjw2aDQRe62FK7eVMKE,三食三時,3.3,221
ChIJd1jSCi82aDQRYxc8jqIGsUU,僑記刀切麵食館,3.3,267
ChIJyXuRky42aDQROdWrIet3fPI,Hong Ya Hamburger,3.3,291
ChIJf7xoEjs2aDQRa_g0AoeC9JE,Q Burger 新竹光復店,3.3,538
ChIJK4jGljo2aDQRcVnlv_Qg4Gs,Kingdom Hotel,3.3,580
ChIJp0qcWwc3aDQRPjTN84cnRWY,MOS BURGR HSR Hsinchu Shop,3.3,906
ChIJt-4Txus2aDQRZTsm6IMtDbg,My Home Steak,3.3,1143
